reward/reward_mean;reward/reward_max;reward/reward_min;reward/reward_std;loss/bellman_error;misc/q;misc/q_est;misc/epsilon;misc/timestep
21.73913043478261;86.0;9.0;13.292312449620987;0.4810843838453293;0.9646386202573777;-0.009424612342612817;0.19730000000000564;1500
36.30769230769231;125.0;13.0;28.069651323872673;0.4501521364450455;1.3120493824481965;0.39025552915036676;0.1964000000000075;2000
34.46666666666667;95.0;13.0;18.895737320593998;0.42488895207643507;1.8885091528892517;0.995132176220417;0.1955000000000094;2500
44.54545454545455;77.0;22.0;17.96139110002157;0.38846745282411577;2.288285314083099;1.4406036776304245;0.19460000000001126;3000
39.23076923076923;94.0;17.0;21.640964880216078;0.3546065362691879;2.588839397192001;1.7958643822669982;0.19370000000001314;3500
63.75;107.0;36.0;22.52637343204627;0.33280645206570625;2.8982316887378694;2.1468838897943496;0.19280000000001501;4000
68.57142857142857;127.0;34.0;28.19248705826806;0.3205972500741482;3.292158540010452;2.5725564064979554;0.1919000000000169;4500
101.25;184.0;51.0;51.92001059321926;0.3172328523695469;3.778325350046158;3.0694658415317537;0.19100000000001877;5000
88.14285714285714;129.0;55.0;25.491895470793803;0.31535895586013796;4.410730367183685;3.708046378135681;0.19010000000002064;5500
83.33333333333333;108.0;65.0;14.738460646289429;0.30962021195888517;4.970710778713227;4.2740982956886295;0.18920000000002252;6000
90.2;172.0;46.0;45.02621458661609;0.30613045346736906;5.654012436389923;4.956171179294587;0.1883000000000244;6500
126.25;204.0;62.0;55.33703551871929;0.30590131956338884;6.167466284751892;5.4692742285728455;0.18740000000002627;7000
102.8;138.0;85.0;19.009471323527123;0.29752639469504355;6.667909029006958;5.977827857017517;0.18650000000002814;7500
100.2;149.0;47.0;32.57852053117207;0.29666031140089033;7.198420555114746;6.502765465736389;0.18560000000003002;8000
71.66666666666667;112.0;42.0;25.230052626888348;0.28950667729973795;7.615422132492065;6.92880076789856;0.1847000000000319;8500
108.2;138.0;71.0;23.301502097504358;0.2836075873970985;7.923756675720215;7.23917026424408;0.18380000000003377;9000
108.25;135.0;89.0;18.886172190256023;0.2782625172138214;8.424495821952819;7.747069065093994;0.18290000000003565;9500
148.0;197.0;104.0;35.742132001323036;0.2771794952750206;8.597890086174012;7.920987562179565;0.18200000000003752;10000
110.25;144.0;70.0;28.830322578840494;0.27095641028881073;9.000931930541991;8.330624341964722;0.1811000000000394;10500
101.2;156.0;62.0;30.798701271319867;0.26786573222279547;9.370204210281372;8.705517562866211;0.18020000000004127;11000
137.25;236.0;73.0;60.75102879787305;0.2624008023440838;9.65124340057373;8.992486783981324;0.17930000000004315;11500
104.25;151.0;66.0;34.77337343428158;0.2568397756814957;9.912163778305054;9.261554041862487;0.17840000000004502;12000
81.66666666666667;144.0;13.0;47.87715762471935;0.2528373196721077;10.070909755706786;9.424998191833495;0.1775000000000469;12500
91.83333333333333;144.0;62.0;29.151424588783918;0.2472181400358677;10.458903526306152;9.822197848320007;0.17660000000004877;13000
88.0;139.0;55.0;28.05946067431328;0.24260233584046365;10.410478627204895;9.78185568523407;0.17570000000005065;13500
121.75;182.0;86.0;38.886855105549486;0.23687424805760385;10.494721235275268;9.871751499176025;0.17480000000005252;14000
